才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
Ruffian,https://dabimas.jp/kouryaku/abilities/7214558367.html,・常時、気性が荒くなるが、 脚が少し速くなり、スタミナが少し増え、 根性がつく,・1400～2400m ・ダートレース,・自分,100%
愛心的中♪,https://dabimas.jp/kouryaku/abilities/3452811586.html,・ゴールまで200m以内で、 短い時間、脚が速くなる,・馬場状態が良 ・2000～2500m ・中山競馬場、東京競馬場 ・騎乗指示：逃げ、先行 ・4番手以上にいる時,・自分,70%〜100%
力走,https://dabimas.jp/kouryaku/abilities/1844820356.html,・最後の直線で 短い時間、脚が少し速くなる,・1400～1800m ・騎乗指示：逃げ,・自分,70%〜100%
立夏,https://dabimas.jp/kouryaku/abilities/5512364289.html,・スタートから100m以降で、短い時間、 脚が速くなる,・1200～2000m ・コンディションが好調以上 ・騎乗指示：逃げ,・自分,70%〜100%
六花銀世界,https://dabimas.jp/kouryaku/abilities/0427665213.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで240m以内で、 やや長い時間、脚が速くなる,・条件1 天候が晴、曇 1600、2500m 中山競馬場、東京競馬場、 シャティン競馬場 芝レース ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
立春,https://dabimas.jp/kouryaku/abilities/2214759369.html,・最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・2000、3000、3200m ・京都競馬場、大井競馬場 ・騎乗指示：先行,・自分,100%
竜虎相搏,https://dabimas.jp/kouryaku/abilities/6310124177.html,・最後の直線に入る時、短い時間 脚が速くなる,・2400～3200m ・東京競馬場、京都競馬場 ・芝レース ・騎乗指示：逃げ、先行 ・2～5番手にいる時,・自分,100%
竜驤虎視,https://dabimas.jp/kouryaku/abilities/5614535208.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） 最後の直線で、短い時間 スタミナが少し増え、 脚が速くなる,・条件1 東京競馬場 ・条件2 4番人気以上の時,・自分,70%〜100%
竜神,https://dabimas.jp/kouryaku/abilities/4217608543.html,・常時、脚が速くなり、 根性がつく,・2400、2500、3200m ・コンディションが絶好調,・自分,30%〜60%
流星群,https://dabimas.jp/kouryaku/abilities/0614536248.html,・ゴールまで300m以内で、 短い時間、脚が少し速くなり、 その後、やや長い時間 更に脚が速くなる,・1600、2000、2400m ・コンディションが絶好調 ・騎乗指示：先行,・自分,100%
流星刃閃,https://dabimas.jp/kouryaku/abilities/1264175308.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる ・効果3（条件1、2を満たすと発揮） 最後の直線で、 長い時間、競り合いで疲れづらくなる,・条件1 桜花賞、オークス、 宝塚記念、秋華賞、 大阪杯、香港マイル、 香港カップ、香港ヴァーズ ・条件2 騎乗指示：先行、追込,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
龍嘶鳳冠,https://dabimas.jp/kouryaku/abilities/9315458263.html,・ゴールまで200m以内で、やや長い時間、 脚が少し速くなる,・コンディションが絶好調 ・騎手がデムーロ騎手、蛯名騎手、 浜中騎手、石橋騎手、 柴田大騎手,・自分,100%
流速,https://dabimas.jp/kouryaku/abilities/6577031472.html,・常時、脚が少し速くなる,・馬場状態が良、稍重 ・東京競馬場、阪神競馬場、 京都競馬場、中京競馬場,・自分,100%
流転,https://dabimas.jp/kouryaku/abilities/1094724356.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・1200～2000m ・東京競馬場、中京競馬場 ・騎乗指示：逃げ、先行,・自分,100%
流氷波音,https://dabimas.jp/kouryaku/abilities/3427365213.html,・効果1（条件1を満たすと発揮） 常時、脚が速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～2000m 京都競馬場、函館競馬場、 札幌競馬場、メイダン競馬場、 シャティン競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
粒粒辛苦,https://dabimas.jp/kouryaku/abilities/1614534267.html,・ゴールまで150m以内で、 短い時間、脚が非常に速くなり、 競り合いで疲れづらくなる,・1600、2000、3200m ・阪神競馬場、京都競馬場、 シャティン競馬場 ・騎乗指示：逃げ,・自分,100%
遼遠,https://dabimas.jp/kouryaku/abilities/0264175354.html,・常時、脚が少し速くなり、 スタミナが少し増える,・天候が晴、曇 ・馬場状態が良、稍重 ・1600～2400m ・東京競馬場、阪神競馬場、 中京競馬場,・自分,100%
涼感夏影★,https://dabimas.jp/kouryaku/abilities/2417565213.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなる,・条件1 1600～2400m 東京競馬場、京都競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
涼装,https://dabimas.jp/kouryaku/abilities/2960143553.html,・ゴールまで250m以内で、 やや長い時間、脚が速くなる,・1700～3200m ・小倉競馬場、京都競馬場、 札幌競馬場 ・騎乗指示：先行,・自分,100%
涼風一陣,https://dabimas.jp/kouryaku/abilities/3452931376.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1200～2000m 東京競馬場、中京競馬場、 シャティン競馬場 コンディションが好調以上 ・条件2 騎乗指示：先行,・効果1 自分 ・効果2 自分,100%
綾羅錦繍,https://dabimas.jp/kouryaku/abilities/3452341786.html,・最後の直線で、 短い時間、脚が速くなり、 スタミナが増える,・天候が晴 ・1200～1600m ・5番人気以上の時,・自分,70%〜100%
緑陰,https://dabimas.jp/kouryaku/abilities/3452671276.html,・常時、スタミナが少し増え、 気性が穏やかになる,・天候が晴、曇 ・馬場状態が良、稍重 ・皐月賞、日本ダービー、 菊花賞、桜花賞、 オークス ・コンディションが絶好調,・自分,100%
緑林好漢,https://dabimas.jp/kouryaku/abilities/0264175336.html,・ゴールまで200m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・1600～2000m ・中山競馬場、阪神競馬場 ・騎乗指示：逃げ,・自分,100%
霖雨,https://dabimas.jp/kouryaku/abilities/4762581838.html,・効果1 常時、気性が穏やかになる ・効果2 最終コーナーで、 長い時間、脚が少し速くなる,・天候が晴、雨 ・馬場状態が稍重、重、不良 ・中山競馬場、京都競馬場 ・芝レース,・効果1 自分 ・効果2 自分,100%
Luce,https://dabimas.jp/kouryaku/abilities/5192546834.html,・最後の直線で、 短い時間、脚が速くなる,・2200、2500、3000m ・中山競馬場、新潟競馬場、 京都競馬場、中京競馬場 ・コンディションが絶好調 ・騎乗指示：追込,・自分,80%〜100%
Roots,https://dabimas.jp/kouryaku/abilities/3172546838.html,・最後の直線で、やや長い時間、 脚が少し速くなり、 スタミナが増える,・2000～2400m ・東京競馬場、阪神競馬場 ・5番人気以上の時,・自分,60%〜100%
霊王君臨,https://dabimas.jp/kouryaku/abilities/4217673523.html,・最後の直線で、 やや長い時間、脚が速くなる,・1600～2200m ・東京競馬場、阪神競馬場、 京都競馬場,・自分,100%
零華森蒼,https://dabimas.jp/kouryaku/abilities/0407865213.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなる,・条件1 2000～2200m 東京競馬場、京都競馬場 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
麗春花,https://dabimas.jp/kouryaku/abilities/4315459267.html,・ゴールまで300m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・2000～2500m ・中山競馬場、東京競馬場、 阪神競馬場,・自分,100%
麗日,https://dabimas.jp/kouryaku/abilities/6577431432.html,・ゴールまで200m以内で、 短い時間、脚が非常に速くなる,・馬場状態が良、稍重 ・1200～2000m ・中山競馬場、東京競馬場、 阪神競馬場、中京競馬場,・自分,100%
怜悧,https://dabimas.jp/kouryaku/abilities/0457365213.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・1600～3600m ・中山競馬場、阪神競馬場、 中京競馬場、札幌競馬場 ・コンディションが好調以上,・自分,70%〜100%
恋味七変化♪,https://dabimas.jp/kouryaku/abilities/1271562403.html,・効果1 最後の直線で、 やや長い時間、以下のどれかを発揮する 脚が少し速くなる 競り合いで疲れづらくなる ・効果2 最後の直線で、 やや長い時間、以下のどれかを発揮する 脚が少し速くなる スタミナが少し増える 競り合いで疲れづらくなる ・効果3 最後の直線で、 やや長い時間、以下のどれかを発揮する 脚が速くなる スタミナが増える 何も起こらない ※効果1～3は重複して発揮します,・1400～2000m ・阪神競馬場、小倉競馬場、 新潟競馬場、福島競馬場、 京都競馬場、函館競馬場、 札幌競馬場 ・芝レース ・騎乗指示：差し、追込,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
烈火宝脚,https://dabimas.jp/kouryaku/abilities/6614532237.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで320m以内で、 やや長い時間、脚が速くなる,・条件1 2000、3000、3200m 東京競馬場、京都競馬場 ・条件2 騎乗指示：先行、差し,・効果1 自分 ・効果2 自分,100%
烈脚斬陣,https://dabimas.jp/kouryaku/abilities/2316487267.html,・ゴールまで300m以内で、やや長い時間 脚が速くなる,・2000～2200m ・阪神競馬場、京都競馬場 ・騎乗指示：差し、追込,・自分,100%
祝宴★,https://dabimas.jp/kouryaku/abilities/4315457269.html,・ゴールまで300m以内で、 短い時間、脚が速くなる,・天候が晴 ・馬場状態が良 ・宝塚記念、有馬記念,・自分,100%
恋花★繚乱,https://dabimas.jp/kouryaku/abilities/4219637503.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1600、2400m 東京競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
恋想夢々,https://dabimas.jp/kouryaku/abilities/2264175343.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 天候が晴、雨 1600～2200m 中山競馬場、京都競馬場、 シャティン競馬場 ・条件2 騎乗指示：逃げ、先行、差し,・効果1 自分 ・効果2 自分,100%
老成,https://dabimas.jp/kouryaku/abilities/1304829356.html,・レース中盤に、持久力が上がる,・中山競馬場、東京競馬場、 阪神競馬場、中京競馬場、 ロンシャン競馬場 ・年齢が4歳以上,・自分,40%〜80%
